MUN_ID;NOME;UF
1100205;Porto Velho;RO
1100338;Nova Mamoré;RO
1100700;Campo Novo de Rondônia;RO
1100452;Buritis;RO
1100809;Candeias do Jamari;RO
1101104;Itapuã do Oeste;RO
1101492;São Francisco do Guaporé;RO
1100080;Costa Marques;RO
1100106;Guajará-Mirim;RO
1100023;Ariquemes;RO
1101757;Vale do Anari;RO
1100130;Machadinho D'Oeste;RO
1100940;Cujubim;RO
1100262;Rio Crespo;RO
1100403;Alto Paraíso;RO
1100601;Cacaulândia;RO
1101401;Monte Negro;RO
1100114;Jaru;RO
1100122;Ji-Paraná;RO
1100155;Ouro Preto do Oeste;RO
1101435;Nova União;RO
1101559;Teixeirópolis;RO
